index,prediction,truth
2050916,go get a purple small light key,go fetch a small purple light key
2051024,you must fetch a small grey light ball,you must fetch a neutral grey small ball
2051027,go fetch a blue large light ball,go get a light blue large ball
2051028,go get a medium very_light purple key,get a purple light medium key
2051045,fetch a medium red neutral ball,go get a medium neutral red ball
2051102,get a dark blue large key,you must fetch a large neutral blue key
2051108,go fetch a dark large green green key,get a dark large red ball
2051345,get a purple medium dark key,go fetch a dark medium purple ball
2051495,go fetch a giant dark grey key,get a dark giant grey key
2051536,fetch a large very_light light ball,go get a purple large light key
2051643,go get very_light yellow grey ball,go fetch a tiny grey very_light ball
2052098,go get a tiny neutral green ball,go get a tiny neutral blue key
2052112,go get a large dark blue ball,fetch a large blue dark ball
2052285,get a tiny very_dark purple key,go get a tiny very_dark purple ball
2052395,get a grey tiny tiny ball,you must fetch a tiny grey very_dark ball
2052439,get a large blue very_dark ball,you must fetch a blue very_dark large ball
2052524,go fetch a very_light red tiny key,you must fetch a red tiny very_light key
2052656,you must fetch a green very_dark small ball,go get a small very_dark green ball
2052681,get a a green tiny very_light ball,you must fetch a very_light green tiny ball
2052770,you must neutral giant blue ball,fetch a blue giant neutral ball
2052781,go get a grey small neutral ball,get a grey small neutral ball
2052830,fetch a a red medium light key,go fetch a green medium light key
2053039,go fetch a tiny green light key,get a green tiny light ball
2053170,get a dark grey medium ball,fetch a dark grey medium ball
2053333,fetch a green green small ball,fetch a tiny red very_dark key
2053381,you must fetch a grey small neutral key,you must fetch a small grey neutral key
2053441,go fetch a light small grey key,you must fetch a grey light small key
2053528,get a very_dark purple tiny key,get a tiny purple very_dark key
2053581,fetch a grey grey large key,fetch a dark grey large key
2053724,fetch a small neutral small ball,get a neutral small green ball
2053832,get a blue green giant key,you must fetch a giant very_dark green key
2053968,you must fetch a very_dark purple very_dark key,go fetch a yellow very_dark large key
2054097,get a green dark small key,go get a medium red very_dark key
2054204,get a blue dark large key,go get a large dark blue key
2054495,go must fetch a very_dark tiny purple key,fetch a purple very_dark tiny ball
2054533,go get a grey giant neutral ball,go get a grey neutral giant ball
2054604,go fetch a neutral light tiny key,go fetch a neutral tiny yellow key
2054628,you must medium red very_light ball,you must fetch a red very_light giant key
2054633,fetch a tiny very_dark tiny ball,you must fetch a very_dark tiny yellow ball
2055048,go fetch a large red very_light ball,get a medium light red ball
2055093,fetch a blue neutral giant key,get a neutral blue giant key
2055148,go fetch a giant blue dark key,go fetch a giant purple dark key
2055377,you must fetch a green giant very_dark key,go fetch a giant very_dark green key
2055778,get a a purple medium very_dark ball,fetch a dark grey medium key
2055986,go get a blue light large ball,go fetch a blue light large ball
2056151,you must fetch a large green dark key,go fetch a dark large red key
2056174,go a light tiny purple key,get a tiny light grey key
2056272,fetch a very_light red medium key,you must fetch a medium red very_light ball
2056318,get a very_dark yellow large ball,fetch a large yellow very_dark ball
2056361,go get very_dark small small key,get a green very_dark small key
2056422,fetch a purple giant very_dark key,you must fetch a very_dark purple giant key
2056440,get a green medium light ball,go fetch a medium red light ball
2056444,fetch a medium neutral red ball,go get a medium neutral red ball
2056511,go fetch a small light blue ball,you must fetch a small green very_light ball
2056650,get a tiny dark green key,you must fetch a neutral tiny green key
2056832,you must fetch a tiny blue dark ball,go get a tiny blue dark ball
2056843,you must fetch a red very_dark large ball,go fetch a dark large red ball
2056906,go get a small neutral purple key,go get a neutral purple small key
2056943,fetch a tiny red very_light key,go get a very_light small green key
2057108,you must fetch dark yellow medium ball,go fetch a grey dark medium ball
2057114,go fetch fetch a large red very_light ball,go get a very_light red large ball
2057121,get must fetch a giant neutral yellow ball,you must fetch a giant light purple ball
2057143,fetch a light grey large key,go get a large dark grey key
2057250,go fetch a red small neutral ball,you must fetch a neutral red small ball
2057268,you a blue tiny neutral ball,go get a tiny neutral green ball
2057277,fetch a giant blue very_dark ball,fetch a very_dark giant blue ball
2057292,go fetch a a dark green green ball,go get a green giant dark ball
2057339,you must light purple very_light key,you must fetch a purple very_light medium key
2057352,fetch a neutral giant purple ball,go fetch a dark blue giant key
2057413,go fetch a dark large blue ball,go get a dark large purple key
2057422,go fetch a small light blue key,go fetch a small light purple key
2057428,go fetch a grey very_dark tiny ball,get a tiny grey very_dark ball
2057495,get a purple very_dark giant key,fetch a very_dark giant blue ball
2057515,you must fetch a purple tiny dark key,get a purple tiny dark key
2057557,go get a dark tiny red key,go fetch a red dark tiny key
2057569,fetch a small blue neutral ball,you must fetch a tiny green neutral ball
2057754,get a small green light key,fetch a small light green key
2057880,get a dark giant yellow ball,go get a yellow dark giant ball
2058055,get a very_light giant grey ball,you must fetch a very_light large grey ball
2058058,get a very_light green large ball,you must fetch a very_light green large ball
2058206,go fetch a very_light green tiny key,you must fetch a red very_light tiny key
2058290,get a light small green ball,you must fetch a green light small ball
2058452,fetch a grey very_light tiny key,you must fetch a tiny purple neutral key
2058502,go fetch a very_dark grey small ball,go get a very_dark small grey ball
2058508,go fetch a yellow tiny neutral ball,go fetch a grey small light ball
2058605,fetch a grey large large key,go get a light large grey key
2058778,fetch a small grey dark key,get a grey dark small key
2058803,fetch a tiny green light key,go fetch a tiny neutral green key
2058910,go fetch a yellow medium key,go get a medium yellow very_light key
2058934,fetch a yellow neutral small ball,you must fetch a grey small dark ball
2058983,go get a giant dark purple key,go get a dark giant purple key
2059020,you a red very_dark small ball,go get a very_dark small red ball
2059121,fetch a small very_light blue ball,fetch a blue small very_light ball
2059513,fetch a small blue dark ball,go fetch a small blue very_dark ball
2059560,get a green large very_light ball,fetch a large very_light green ball
2059619,get a neutral giant purple key,you must fetch a giant blue dark key
2059745,go fetch a very_dark medium red ball,go fetch a medium green very_dark key
2059930,fetch a giant red neutral ball,fetch a neutral red giant ball
2060270,go fetch a small very_light green key,go get a green small very_light key
2060321,go get a small green very_dark ball,go fetch a small green very_dark ball
2060447,you must fetch a red medium very_light ball,go get a red medium very_light ball
2060533,fetch a small green dark key,you must fetch a dark green small key
2060671,fetch a red very_dark medium key,go fetch a very_dark medium red key
2060826,go get a red giant very_dark key,go get a large very_dark red key
2060952,you must fetch medium dark key,get a dark medium grey key
2060976,go get a light very_light green ball,go fetch a very_light blue tiny ball
2061029,go fetch a tiny blue tiny key,go fetch a neutral tiny purple key
2061090,get a grey light tiny key,go get a small grey light ball
2061108,go fetch a purple giant dark key,go fetch a giant dark blue key
2061124,go fetch a light purple tiny ball,you must fetch a light blue tiny ball
2061292,you must fetch a very_light purple medium ball,go get a medium very_light yellow key
2061319,go get a tiny tiny blue ball,fetch a tiny blue dark ball
2061372,you must fetch a grey large grey key,fetch a grey large neutral key
2061544,fetch a grey giant neutral ball,go fetch a neutral grey giant ball
2061566,fetch a very_dark very_dark giant ball,fetch a red giant very_dark ball
2061636,fetch a tiny light blue ball,go get a neutral tiny green key
2061669,you must fetch a giant purple purple key,fetch a giant dark purple key
2061901,fetch a tiny very_dark purple ball,get a purple very_dark tiny key
2061918,fetch fetch a small very_dark grey ball,go fetch a grey small very_dark ball
2061969,get a purple dark purple ball,you must fetch a purple giant dark ball
2062088,go get a medium dark yellow ball,you must fetch a medium yellow dark ball
2062099,fetch a fetch a large green large key,go get a dark green large key
2062145,go fetch a light medium red key,fetch a medium light red key
2062191,go get a very_dark blue large ball,fetch a very_dark blue large ball
2062242,you must fetch a tiny dark neutral key,you must fetch a neutral tiny grey key
2062409,get a neutral small green ball,go fetch a medium neutral red ball
2062499,get a tiny grey grey ball,fetch a grey tiny dark ball
2062547,get a a blue dark large key,go get a large blue dark key
2062863,fetch a giant green red key,you must fetch a neutral green giant key
2062870,go get a tiny dark red ball,go get a dark tiny red ball
2063122,you must fetch a red medium light key,go get a medium red light key
2063127,you a neutral giant purple key,you must fetch a dark giant purple key
2063136,go fetch a giant neutral purple ball,you must fetch a neutral giant purple ball
2063179,fetch a neutral giant light ball,fetch a green giant light ball
2063182,get a giant very_dark blue ball,get a giant very_dark purple ball
2063277,get a light green small key,go get a very_light red tiny key
2063346,go fetch a medium light red key,fetch a red medium light key
2063350,you must blue dark dark purple large key,go fetch a dark medium purple key
2063355,get a light very_light small ball,fetch a very_light tiny blue ball
2063358,you must fetch a purple giant giant ball,get a yellow neutral giant ball
2063584,you must fetch a blue large dark ball,fetch a dark large purple key
2063625,fetch a neutral medium grey ball,you must fetch a purple medium dark ball
2063909,you must fetch a blue giant neutral key,you must fetch a giant neutral blue key
2063910,fetch a small very_light blue ball,fetch a green very_light small ball
2063933,fetch a grey light tiny ball,you must fetch a grey tiny light ball
2064051,go get a light tiny neutral key,get a tiny yellow neutral key
2064119,get a red very_light large key,go get a green large very_light key
2064135,get a green very_light tiny ball,go get a very_light green tiny ball
2064409,go get a blue small light key,fetch a light tiny blue key
2064414,go fetch a green small neutral key,get a green small neutral key
2064530,get a neutral green tiny key,you must fetch a small light blue key
2064587,get a dark medium red key,get a red neutral small key
2064844,go get a very_dark giant purple ball,go get a purple giant very_dark ball
2065436,you must fetch a very_dark grey tiny ball,go get a very_dark tiny grey ball
2065563,fetch a red small very_dark key,fetch a green very_dark small key
2065596,get a yellow light small ball,go fetch a small light yellow ball
2065650,go fetch a small very_dark purple key,get a very_dark purple small key
2065694,go get a tiny red dark ball,fetch a dark tiny red ball
2065856,you a very_dark blue giant ball,you must fetch a blue very_dark giant ball
2065930,fetch a light tiny grey ball,fetch a tiny grey very_light ball
2065983,go get red light small key,you must fetch a light red small key
2066124,get a very_light giant very_light key,go fetch a giant very_light red key
2066506,fetch a medium medium light key,fetch a purple very_light medium key
2066517,you must fetch a small grey dark ball,go fetch a grey small dark ball
2067073,you must fetch a medium purple dark key,go get a dark purple medium key
2067119,fetch a very_dark yellow large very_dark,fetch a giant very_dark yellow key
2067198,get a giant red green ball,go get a giant light green ball
2067295,go fetch a a medium green dark key,go fetch a green very_dark medium key
2067322,go get a tiny blue neutral key,fetch a green tiny light key
2067578,get a red dark large ball,get a dark large red ball
2067843,get a giant very_dark purple ball,go fetch a purple giant very_dark ball
2067851,fetch a medium light green key,get a light green medium key
2067888,get a a tiny blue light ball,fetch a blue very_light tiny ball
2068049,fetch a green dark large key,go get a dark large green key
2068094,fetch a very_dark small green key,fetch a blue very_dark medium key
2068259,you must fetch a giant blue dark ball,go get a very_dark large blue ball
2068297,fetch a tiny a very_light light tiny ball,fetch a tiny light purple ball
2068385,go get a very_dark purple large ball,you must fetch a yellow large very_dark key
2068423,fetch a yellow medium medium ball,fetch a grey dark medium ball
2068607,go get a tiny neutral grey key,fetch a neutral tiny grey key
2068731,get a medium light green key,you must fetch a small light green key
2068733,get a purple small tiny key,go fetch a purple dark tiny key
2068786,fetch a yellow very_light medium key,fetch a medium yellow very_light key
2068789,go get a very_dark green medium key,go get a very_dark medium green key
2068803,go get a light small purple key,you must fetch a purple small light key
2068963,go get a very_light red medium key,get a medium red light key
2068986,go fetch a very_light red small ball,fetch a red small neutral ball
2069030,you must fetch a red small dark ball,go get a red small dark ball
2069041,fetch a purple very_dark small ball,you must fetch a purple very_dark small ball
2069175,go fetch very_light large green ball,you must fetch a green giant very_light key
2069351,fetch a fetch a giant purple light ball,go get a purple giant light ball
2069492,you must fetch a blue medium light key,go get a medium blue light key
2069686,you must fetch a light tiny very_light ball,get a tiny very_light grey key
2069850,fetch a very_dark very_dark medium purple,go get a medium purple very_dark ball
2069982,get a dark grey medium key,you must fetch a dark grey medium key
2070081,go get a tiny light grey key,you must fetch a grey light tiny key
2070160,fetch a fetch a purple giant very_dark ball,you must fetch a purple very_dark giant ball
2070169,get a very_dark giant purple key,go get a yellow very_dark giant key
2070186,go fetch a blue giant neutral key,you must fetch a blue neutral giant key
2070188,go fetch a grey tiny neutral ball,go fetch a grey tiny neutral ball
2070190,you must fetch a medium medium green ball,go get a green medium dark ball
2070291,go get a dark purple medium ball,you must fetch a medium purple dark ball
2070297,go get a purple tiny tiny key,fetch a light tiny green key
2070389,you must fetch a purple neutral giant key,go get a neutral purple giant ball
2070396,you must light grey grey ball,you must fetch a small light grey ball
2070402,go get a dark tiny red key,you must fetch a tiny red dark key
2070556,go fetch a very_dark giant green key,get a very_dark giant green key
2070558,fetch a giant blue very_dark ball,go get a giant very_dark purple ball
2070570,get a purple giant dark key,you must fetch a dark purple giant ball
2070639,get a giant yellow light giant key,fetch a giant light purple ball
2070660,you must fetch a medium dark purple key,get a dark purple medium key
2070806,fetch a red light medium key,go get a light red medium key
2070865,go fetch a large very_dark giant key,go get a very_dark large purple key
2070909,get a neutral purple large key,you must fetch a neutral blue large key
2071012,fetch a dark blue blue giant ball,fetch a blue very_dark giant ball
2071069,go fetch a small green very_dark ball,you must fetch a very_dark red small ball
2071114,fetch a very_light yellow medium key,fetch a medium very_light purple key
2071121,get a purple very_light large key,fetch a red giant very_light key
2071250,fetch a neutral giant blue ball,fetch a blue neutral giant ball
2071372,get a very_dark blue large ball,fetch a very_dark large blue ball
2071425,go fetch a small neutral neutral ball,you must fetch a small red neutral ball
2071468,get a very_light green very_light key,go fetch a red very_light giant key
2071490,get a neutral red small ball,get a neutral red small ball
2071620,fetch a giant neutral purple key,you must fetch a giant neutral purple key
2071680,go fetch a red giant light key,fetch a neutral red giant key
2071761,go fetch a blue dark medium key,get a medium dark blue key
2071814,get a very_dark yellow tiny ball,go get a tiny yellow very_dark ball
2071837,go get a grey dark giant key,go get a grey giant dark key
2071879,get a small grey grey ball,go fetch a yellow tiny very_dark ball
2071987,get a very_light large green key,go get a large green very_light key
2072000,go fetch a large blue light key,go fetch a neutral purple medium key
2072176,fetch a very_dark giant yellow key,get a giant yellow very_dark key
2072341,fetch a purple very_dark tiny ball,get a tiny very_dark purple ball
2072614,go fetch a very_dark giant yellow key,fetch a yellow very_dark giant key
2072660,you must fetch a very_light medium red key,go get a very_light red medium key
2072886,you a medium neutral medium key,fetch a green medium dark key
2073159,get a purple very_light very_light ball,fetch a purple large very_light ball
2073350,get a large large dark ball,you must fetch a grey dark large key
2073485,go get a medium grey dark ball,go fetch a dark medium grey ball
2073574,you must fetch a small purple very_dark key,go fetch a small very_dark purple ball
2073586,go get a tiny green light ball,you must fetch a tiny green light ball
2073610,fetch a fetch a very_light purple large ball,get a purple very_light large ball
2073652,fetch a blue small very_light key,go get a very_light small blue key
2073669,go get a blue very_dark large key,get a green giant very_dark key
2073882,fetch a green giant very_dark ball,go fetch a blue giant very_dark ball
2074126,fetch a small very_light yellow ball,go fetch a small yellow very_light ball
2074313,get a giant very_dark green ball,go get a red very_dark giant ball
2074523,go fetch a red neutral giant key,you must fetch a red giant neutral key
2074719,you must fetch a tiny very_dark purple ball,go get a purple dark tiny ball
2074724,fetch a dark green tiny ball,fetch a green very_dark tiny ball
2074809,fetch a very_dark purple tiny ball,go fetch a tiny very_dark purple ball
2074931,go fetch a giant dark green ball,go fetch a dark green giant ball
2075007,go a large green dark key,you must fetch a neutral large blue key
2075016,get a light grey small ball,fetch a small light yellow ball
2075247,fetch a blue tiny very_light ball,go get a tiny very_light blue ball
2075408,get a giant neutral red ball,go get a neutral red giant key
2075493,fetch a dark tiny purple very_dark key,fetch a small very_dark purple key
2075655,you must fetch a tiny red very_light ball,go get a tiny light green ball
2075660,you must fetch a dark green giant ball,you must fetch a dark giant green ball
2075686,you must fetch a blue light small key,get a very_light green small key
2075723,go fetch a tiny dark red key,go get a dark tiny red key
2075955,go get a medium very_dark red ball,go fetch a very_dark medium red ball
2075975,fetch a purple small very_dark key,fetch a purple small very_dark key
2076521,you must fetch a green very_light small ball,get a small green very_light ball
2076523,fetch a fetch a large ball,go fetch a large red dark ball
2076530,you must fetch a red very_dark giant ball,go fetch a giant red very_dark ball
2076579,fetch a large neutral red ball,get a neutral red giant ball
2076683,you must fetch a purple large key,get a medium purple very_light key
2076767,go get large red red key,get a large dark red ball
2076805,fetch a dark giant dark ball,you must fetch a dark green giant ball
2076849,go get giant very_dark blue ball,you must fetch a red giant very_dark ball
2076874,go fetch a small neutral blue key,you must fetch a tiny neutral green ball
2077080,go fetch a small dark grey key,you must fetch a grey small dark key
2077252,get a fetch a purple very_dark small key,you must fetch a red very_dark small ball
2077281,get a tiny purple neutral key,fetch a purple tiny neutral key
2077724,fetch a very_dark green small ball,go get a green small very_dark ball
2077916,go get a dark dark large ball,get a dark green medium ball
2077940,fetch a purple medium medium key,get a purple small neutral key
2077994,go get very_dark small purple ball,get a small purple very_dark ball
2077996,fetch a purple dark large ball,go get a dark giant yellow ball
2078004,fetch a blue large dark key,go fetch a blue dark large key
2078021,get a very_light red tiny key,go fetch a very_light tiny red key
2078131,you must fetch a large very_light very_light ball,get a large green very_light ball
2078239,fetch a dark blue giant giant dark ball,go get a dark giant blue key
2078283,you must medium yellow dark ball,go fetch a grey dark medium ball
2078330,get a neutral giant purple ball,you must fetch a giant purple neutral key
2078477,fetch a green small small ball,get a dark small red ball
2078508,fetch a giant blue dark blue ball,you must fetch a purple large dark key
2078512,fetch a tiny dark tiny ball,fetch a neutral green tiny ball
2078599,go get a very_light large red ball,go fetch a very_light medium red ball
2078603,fetch a giant yellow very_dark key,go fetch a giant purple very_dark ball
2078679,go get a neutral red medium key,go fetch a light red medium key
2078765,go get a blue medium neutral ball,fetch a medium neutral blue ball
2078887,get a green very_light tiny ball,go fetch a blue very_light tiny ball
2078890,get a green giant very_dark key,you must fetch a green giant very_dark key
2078940,fetch a giant green neutral ball,you must fetch a giant neutral red ball
2078959,go get a tiny grey light key,go fetch a light small grey key
2079050,go get a giant blue very_dark ball,fetch a very_dark giant blue ball
2079057,you must fetch a very_light yellow medium key,you must fetch a medium very_light yellow key
2079198,you must fetch a grey small very_dark ball,go fetch a very_dark small grey ball
2079207,you must large very_dark yellow ball,you must fetch a purple giant very_dark ball
2079214,go fetch a giant yellow dark key,you must fetch a grey giant dark key
2079305,fetch a yellow very_light tiny grey key,go fetch a tiny light grey key
2079743,you must fetch a giant very_dark key,fetch a very_dark large purple key
2079765,get get a red light medium key,fetch a small red light key
2079812,you must fetch a green medium very_dark ball,get a medium very_dark green ball
2079894,go get a grey neutral giant ball,go get a giant neutral grey ball
2079896,you must fetch a red small light key,you must fetch a light small red key
2080078,get a very_dark small yellow ball,go get a dark grey small ball
2080114,get a purple light giant key,go get a purple giant light key
2080163,fetch a fetch a tiny dark tiny ball,you must fetch a dark red tiny ball
2080181,go get a purple medium dark ball,fetch a purple dark medium ball
2080184,fetch a large neutral purple key,you must fetch a purple neutral medium key
2080198,get a small grey neutral ball,fetch a small neutral grey ball
2080241,go fetch a dark giant giant ball,go fetch a grey dark giant key
2080243,go get a dark grey giant key,get a giant grey dark key
2080247,get a a very_light tiny grey key,go get a tiny grey very_light ball
2080255,get a giant green dark green ball,go get a green dark giant ball
2080454,fetch a small grey very_dark key,you must fetch a small purple very_dark key
2080611,fetch a yellow giant neutral ball,go get a grey giant neutral ball
2080776,you must fetch a neutral blue large ball,get a large light blue ball
2080835,go fetch a very_light yellow large ball,get a purple large very_light ball
2080881,you must fetch a medium green dark ball,fetch a green medium dark ball
2080972,get a fetch a blue giant dark ball,get a neutral blue giant ball
2080986,go fetch a green very_light large key,you must fetch a medium very_light blue key
2081200,get get a large dark green key,you must fetch a large dark green key
2081531,fetch a dark yellow medium ball,go fetch a grey medium dark ball
2081881,go fetch a tiny neutral tiny ball,you must fetch a tiny green neutral ball
2081928,go get a small light blue key,go get a small light blue key
2081974,go fetch a giant very_dark ball,go fetch a very_dark giant red ball
2082122,go fetch a grey light medium key,go fetch a tiny purple neutral key
2082141,get a tiny green very_dark key,fetch a very_dark green tiny key
2082242,get a green dark red ball,fetch a red tiny very_dark key
2082503,fetch a yellow a giant dark purple key,go fetch a dark giant purple key
2082709,get a purple dark large ball,fetch a purple neutral giant ball
2082775,get a green giant red key,you must fetch a green neutral giant key
2083010,fetch a purple giant dark ball,fetch a giant dark purple ball
2083195,get a dark green giant very_dark key,get a giant very_dark green key
2083229,you must small blue light ball,go get a small blue light ball
2083238,you must fetch a grey small dark ball,you must fetch a dark grey small ball
2083249,fetch a medium dark purple key,you must fetch a dark large blue key
2083338,get a medium blue neutral key,get a light yellow small key
2083354,fetch a grey tiny dark ball,go fetch a grey dark tiny ball
2083359,you a dark red small ball,go fetch a dark red small ball
2083414,you must light small yellow key,fetch a yellow small light key
2083619,you must fetch a tiny grey very_light key,get a grey very_light tiny key
2083822,you must fetch a small purple very_dark key,you must fetch a purple very_dark small key
2083986,go fetch a large light key,fetch a large grey light key
2083997,you must a purple dark large key,get a large dark purple key
2084174,you must fetch a giant yellow dark ball,you must fetch a giant grey dark key
2084228,fetch a small grey dark key,get a grey small dark key
2084236,fetch a yellow dark medium ball,you must fetch a yellow dark medium ball
2084251,get fetch a red dark red key,get a red tiny very_dark key
2084344,fetch a green very_dark medium ball,you must fetch a green dark medium ball
2084429,you must fetch a tiny very_dark yellow ball,go fetch a very_dark yellow tiny ball
2084444,get get a red very_dark giant ball,get a giant red very_dark ball
2084529,go get fetch a yellow large very_dark key,fetch a very_dark giant blue ball
2084617,get a small tiny very_dark ball,go get a purple very_dark tiny ball
2084673,fetch a medium purple dark key,fetch a large dark purple key
2084698,fetch a a red tiny dark key,go fetch a red dark tiny key
2084751,fetch a fetch grey giant grey giant ball,go fetch a neutral giant grey ball
2084757,you must fetch a neutral giant blue ball,get a giant blue neutral ball
2084791,go get a dark large red ball,fetch a large dark red ball
2084866,fetch a small blue very_dark ball,you must fetch a very_dark small green ball
2084933,fetch a green medium dark key,go fetch a dark green large key
2085039,go fetch a large neutral giant ball,you must fetch a neutral purple giant ball
2085044,go fetch a dark grey ball,go get a grey medium neutral ball
2085106,you fetch a light grey medium key,go fetch a medium light grey key
2085151,go fetch a purple medium light key,get a medium light purple key
2085159,fetch a tiny yellow neutral key,get a tiny purple neutral key
2085177,fetch a a small very_light green key,you must fetch a green light tiny key
2085353,get a dark blue large key,go fetch a large dark green key
2085534,go get very_light blue medium key,you must fetch a very_light blue small key
2085644,you must fetch a grey neutral tiny key,you must fetch a neutral tiny grey key
2085811,get a dark purple giant ball,go get a very_dark large blue ball
2085895,go get a very_light small grey ball,you must fetch a small light grey ball
2086065,go fetch a green very_dark tiny key,go fetch a very_dark green tiny ball
2086089,get a green light small key,get a yellow medium very_light key
2086156,go get a very_light purple giant key,fetch a giant very_light purple key
2086161,get a neutral tiny grey key,go fetch a tiny neutral yellow key
2086206,go fetch a very_light red medium key,fetch a light blue medium key
2086358,you must fetch a blue red tiny key,get a neutral small green key
2086418,go fetch a red dark large key,go get a large red dark key
2086434,fetch a blue medium dark key,go fetch a dark medium purple key
2086513,you must fetch a grey dark giant key,fetch a very_dark giant yellow key
2086719,get a tiny red very_dark key,you must fetch a tiny green very_dark key
2086809,fetch a neutral medium red ball,get a neutral red large ball
2086899,go fetch a yellow tiny very_dark ball,go fetch a very_dark tiny yellow ball
2086977,fetch a green giant very_dark key,you must fetch a very_dark blue giant ball
2086989,fetch a purple light medium key,get a purple medium light key
2087031,go a small red red ball,fetch a red very_dark small ball
2087161,go get a very_dark giant purple ball,go get a giant purple very_dark ball
2087354,go fetch a small green very_light ball,get a very_light green small ball
2087361,fetch a grey light medium key,fetch a light medium grey key
2087496,get fetch a grey light small ball,fetch a small grey light ball
2087704,go get a green giant ball,you must fetch a green dark giant ball
2087868,go get a tiny dark grey ball,go fetch a light grey tiny ball
2088014,you must fetch a purple very_light large ball,go get a very_light purple large ball
2088125,get a dark yellow large ball,get a yellow very_dark large ball
2088199,fetch a fetch small grey dark key,go fetch a grey small dark key
2088263,go get a small blue very_light ball,go fetch a small very_light purple key
2088291,go fetch a tiny purple very_dark ball,get a purple tiny very_dark ball
2088359,go fetch a green light small key,go fetch a light small red key
2088387,go fetch a neutral grey tiny ball,go get a tiny neutral grey ball
2088417,you must fetch a very_light key,go fetch a very_light green giant key
2088504,you must fetch a giant purple neutral ball,go get a blue giant dark ball
2088552,fetch a dark giant grey ball,go fetch a dark yellow giant ball
2088556,go get a neutral grey tiny ball,get a dark purple tiny ball
2088573,get a very_dark large very_dark key,get a large very_dark yellow key
2088696,go get a blue very_light small ball,go fetch a small very_light purple key
2088723,go fetch a neutral grey tiny key,you must fetch a dark tiny purple ball
2088812,you must fetch a tiny green very_light ball,go fetch a blue light small ball
2089009,go get large dark grey key,go get a grey dark large key
2089042,go fetch a grey light medium key,you must fetch a neutral medium grey ball
2089050,go fetch a very_dark medium blue ball,go fetch a very_dark medium blue key
2089057,go get a very_dark red dark ball,get a red dark large ball
2089098,get a giant dark green ball,go get a green giant dark ball
2089158,go fetch a purple dark medium key,go fetch a purple dark medium key
2089207,fetch a yellow small light ball,you must fetch a small yellow light ball
2089230,go get a blue neutral small ball,get a blue neutral small ball
2089241,fetch a light medium blue key,go get a medium light blue key
2089251,you must fetch a giant yellow dark ball,fetch a dark yellow giant ball
2089260,go fetch fetch a purple giant dark ball,fetch a purple giant dark ball
2089288,you must fetch a tiny green very_dark key,go get a green very_dark tiny key
2089335,fetch a very_dark red giant ball,you must fetch a green giant very_dark key
2089347,fetch a dark red small ball,you must fetch a very_dark small red ball
2089421,you must fetch a small green neutral ball,go get a neutral small green ball
2089473,go fetch a very_dark large yellow ball,fetch a yellow very_dark large ball
2089540,go fetch a neutral medium neutral ball,get a red medium neutral ball
2089666,fetch a green very_light tiny ball,you must fetch a green very_light tiny ball
2089750,you must fetch a blue large dark ball,get a blue very_dark large ball
2089836,go fetch a medium neutral blue ball,get a blue neutral medium ball
2089850,go fetch a medium medium neutral ball,fetch a neutral large red ball
2089949,you must fetch a light grey small ball,get a small grey light ball
2090104,get a medium dark grey ball,you must fetch a grey dark medium ball
2090111,you must fetch a large green light ball,you must fetch a large light blue ball
2090210,you must fetch a red very_dark medium ball,get a large red dark ball
2090259,go get a small green very_light key,go get a green small very_light key
2090321,go fetch a green very_light tiny key,you must fetch a light tiny green key
2090380,go get a dark tiny green ball,go get a tiny green neutral ball
2090736,get a purple grey medium ball,go fetch a grey dark medium key
2090744,go fetch a very_dark tiny grey ball,fetch a very_dark yellow tiny ball
2090802,go fetch a light small light ball,go fetch a small green light ball
2090824,go fetch a green dark large ball,fetch a dark red large key
2090865,go fetch a neutral giant purple key,go get a yellow light giant key
2091289,get a purple tiny very_dark ball,get a very_dark purple tiny key
2091604,you must fetch a medium neutral blue ball,get a blue neutral medium ball
2091646,you must fetch a very_light medium blue key,get a medium very_light blue key
2091791,go fetch a purple neutral tiny ball,get a grey small neutral key
2091845,get a small blue neutral ball,go fetch a small blue neutral ball
2091863,get a purple tiny dark ball,go fetch a dark tiny purple ball
2091930,go fetch a large dark green ball,go get a very_dark medium red key
2091972,go get a small yellow purple key,go get a tiny neutral blue key
2092155,fetch a a purple giant dark ball,go get a dark giant blue ball
2092170,you must fetch a tiny neutral grey ball,go fetch a light grey tiny ball
2092237,fetch a a purple dark medium ball,you must fetch a medium purple dark ball
2092258,get a light small purple key,go fetch a light medium purple key
2092304,get a medium very_dark purple ball,go get a purple very_dark medium ball
2092600,go fetch a purple large very_light ball,go get a purple very_light large ball
2092643,fetch a medium purple dark ball,get a purple medium dark ball
2092692,go get a medium light blue key,get a medium light green key
2092710,fetch a large blue neutral key,go fetch a neutral blue medium ball
2092884,you must fetch a light small blue ball,go get a light small blue ball
2092965,fetch a small small light key,fetch a very_light small green key
2093094,go get a grey tiny neutral key,fetch a tiny dark blue ball
2093230,get a tiny neutral grey key,go get a very_light tiny grey key
2093544,you must fetch a very_light tiny key,go get a tiny grey very_light key
2093806,go get a very_light tiny green ball,go get a blue very_light tiny ball
2093866,go must fetch a very_dark small grey ball,go fetch a grey very_dark small ball
2093928,fetch a giant yellow dark ball,go fetch a dark yellow giant ball
2093953,fetch a small blue neutral ball,go fetch a neutral small blue ball
2094081,get a medium yellow very_light key,go fetch a very_light yellow medium key
